Column1,Column2,time_period,temperature_change
Nouvelle-Écosse/Nova Scotia,-0.59,Column7,-1.53
Nunavut/Nunavut,-4.81,Column7,-14.09
Ontario/Ontario,-4.12,Column7,-7.88
Île-du-Prince-Édouard/Prince Edward Island,-1.44,Column7,-3.74
Québec/Quebec,-6.23,Column7,-11.23
Saskatchewan/Saskatchewan,-3.32,Column7,-6.20
Yukon/Yukon Territory,-9.83,Column7,-19.49
75e centile/75th percentile,RCP2.6,Column7,
,2016-2035,Column7,2081-2100
Canada/Canada,0.04,Column7,-0.67
Alberta/Alberta,-1.21,Column7,-3.77
Colombie-Britannique/British Columbia,-4.63,Column7,-12.87
Manitoba/Manitoba,-0.58,Column7,-2.24
Nouveau-Brunswick/New Brunswick,-0.31,Column7,-1.93
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-2.04,Column7,-4.60
Territoires du Nord-Ouest/Northwest Territories,0.21,Column7,-0.62
Nouvelle-Écosse/Nova Scotia,0.00,Column7,-0.08
Nunavut/Nunavut,1.73,Column7,2.46
Ontario/Ontario,-0.83,Column7,-3.07
Île-du-Prince-Édouard/Prince Edward Island,-0.10,Column7,-0.36
Québec/Quebec,-0.81,Column7,-3.92
Saskatchewan/Saskatchewan,-0.83,Column7,-2.70
Yukon/Yukon Territory,-1.62,Column7,-3.94
50e centile/50th percentile,RCP2.6,Column7,
,2016-2035,Column7,2081-2100
Canada/Canada,-0.68,Column7,-2.10
Alberta/Alberta,0.00,Column7,0.00
Colombie-Britannique/British Columbia,-0.33,Column7,-0.74
Manitoba/Manitoba,-0.01,Column7,-0.01
Nouveau-Brunswick/New Brunswick,0.00,Column7,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.06,Column7,-0.11
Territoires du Nord-Ouest/Northwest Territories,-0.13,Column7,-0.37
Nouvelle-Écosse/Nova Scotia,0.00,Column7,0.00
Nunavut/Nunavut,-1.97,Column7,-5.66
Ontario/Ontario,0.00,Column7,0.00
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column7,0.00
Québec/Quebec,-0.06,Column7,-0.16
Saskatchewan/Saskatchewan,0.00,Column7,0.00
Yukon/Yukon Territory,-0.52,Column7,-1.73
25e centile/25th percentile,RCP2.6,Column7,
,2016-2035,Column7,2081-2100
Canada/Canada,-2.00,Column7,-6.25
Alberta/Alberta,-0.02,Column7,-0.03
Colombie-Britannique/British Columbia,-1.16,Column7,-2.31
Manitoba/Manitoba,-0.03,Column7,-0.04
Nouveau-Brunswick/New Brunswick,0.00,Column7,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.27,Column7,-0.72
Territoires du Nord-Ouest/Northwest Territories,-0.62,Column7,-1.75
Nouvelle-Écosse/Nova Scotia,0.00,Column7,0.00
Nunavut/Nunavut,-5.64,Column7,-17.95
Ontario/Ontario,-0.01,Column7,-0.01
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column7,0.00
Québec/Quebec,-0.24,Column7,-0.53
Saskatchewan/Saskatchewan,0.00,Column7,0.00
Yukon/Yukon Territory,-2.14,Column7,-4.13
75e centile/75th percentile,RCP2.6,Column7,
,2016-2035,Column7,2081-2100
Canada/Canada,-0.05,Column7,-0.37
Alberta/Alberta,0.00,Column7,0.00
Colombie-Britannique/British Columbia,-0.01,Column7,-0.03
Manitoba/Manitoba,0.00,Column7,0.00
Nouveau-Brunswick/New Brunswick,0.00,Column7,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,0.00,Column7,-0.01
Territoires du Nord-Ouest/Northwest Territories,0.00,Column7,-0.08
Nouvelle-Écosse/Nova Scotia,0.00,Column7,0.00
Nunavut/Nunavut,-0.05,Column7,-0.96
Ontario/Ontario,0.00,Column7,0.00
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column7,0.00
Québec/Quebec,0.00,Column7,-0.01
Saskatchewan/Saskatchewan,0.00,Column7,0.00
Yukon/Yukon Territory,-0.09,Column7,-0.20
50e centile/50th percentile,RCP2.6,Column7,
,2016-2035,Column7,2081-2100
Canada/Canada,-0.81,Column7,-2.48
Alberta/Alberta,-0.45,Column7,-0.90
Colombie-Britannique/British Columbia,-1.16,Column7,-3.07
Manitoba/Manitoba,-0.51,Column7,-1.07
Nouveau-Brunswick/New Brunswick,-0.19,Column7,-0.38
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.56,Column7,-1.50
Territoires du Nord-Ouest/Northwest Territories,-0.62,Column7,-2.03
Nouvelle-Écosse/Nova Scotia,-0.02,Column7,-0.04
Nunavut/Nunavut,-1.95,Column7,-6.18
Ontario/Ontario,-0.44,Column7,-0.97
Île-du-Prince-Édouard/Prince Edward Island,-0.03,Column7,-0.07
Québec/Quebec,-0.74,Column7,-1.70
Saskatchewan/Saskatchewan,-0.43,Column7,-0.83
Yukon/Yukon Territory,-1.54,Column7,-3.76
25e centile/25th percentile,RCP2.6,Column7,
,2016-2035,Column7,2081-2100
Canada/Canada,-2.12,Column7,-6.54
Alberta/Alberta,-0.83,Column7,-1.38
Colombie-Britannique/British Columbia,-2.17,Column7,-4.74
Manitoba/Manitoba,-0.93,Column7,-1.66
Nouveau-Brunswick/New Brunswick,-0.38,Column7,-0.55
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-1.06,Column7,-2.14
Territoires du Nord-Ouest/Northwest Territories,-1.44,Column7,-3.46
Nouvelle-Écosse/Nova Scotia,-0.05,Column7,-0.07
Nunavut/Nunavut,-5.19,Column7,-17.26
Ontario/Ontario,-0.81,Column7,-1.47
Île-du-Prince-Édouard/Prince Edward Island,-0.10,Column7,-0.10
Québec/Quebec,-1.22,Column7,-2.47
Saskatchewan/Saskatchewan,-0.78,Column7,-1.25
Yukon/Yukon Territory,-3.05,Column7,-6.59
75e centile/75th percentile,RCP2.6,Column7,
,2016-2035,Column7,2081-2100
Canada/Canada,-0.08,Column7,-0.63
Alberta/Alberta,-0.21,Column7,-0.51
Colombie-Britannique/British Columbia,-0.43,Column7,-1.77
Manitoba/Manitoba,-0.14,Column7,-0.62
Nouveau-Brunswick/New Brunswick,-0.11,Column7,-0.26
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.16,Column7,-0.94
Territoires du Nord-Ouest/Northwest Territories,-0.04,Column7,-1.13
Nouvelle-Écosse/Nova Scotia,0.00,Column7,-0.02
Nunavut/Nunavut,-0.02,Column7,-1.37
Ontario/Ontario,-0.20,Column7,-0.63
Île-du-Prince-Édouard/Prince Edward Island,-0.01,Column7,-0.04
Québec/Quebec,-0.31,Column7,-1.12
Saskatchewan/Saskatchewan,-0.12,Column7,-0.48
Yukon/Yukon Territory,-0.70,Column7,-1.91
50e centile/50th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-1.00,Column8,-1.08
Alberta/Alberta,-1.31,Column8,-1.74
Colombie-Britannique/British Columbia,-4.14,Column8,-5.01
Manitoba/Manitoba,-0.93,Column8,-1.01
Nouveau-Brunswick/New Brunswick,-0.80,Column8,-1.49
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-2.21,Column8,-2.07
Territoires du Nord-Ouest/Northwest Territories,-0.69,Column8,-0.74
Nouvelle-Écosse/Nova Scotia,-0.19,Column8,-0.21
Nunavut/Nunavut,-1.46,Column8,-1.64
Ontario/Ontario,-1.25,Column8,-1.47
Île-du-Prince-Édouard/Prince Edward Island,-0.41,Column8,-0.52
Québec/Quebec,-1.60,Column8,-2.01
Saskatchewan/Saskatchewan,-0.92,Column8,-1.19
Yukon/Yukon Territory,-2.44,Column8,-2.34
25e centile/25th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-1.99,Column8,-2.09
Alberta/Alberta,-1.31,Column8,-1.62
Colombie-Britannique/British Columbia,-4.65,Column8,-5.28
Manitoba/Manitoba,-1.22,Column8,-1.24
Nouveau-Brunswick/New Brunswick,-1.12,Column8,-1.26
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-2.44,Column8,-2.74
Territoires du Nord-Ouest/Northwest Territories,-1.44,Column8,-1.52
Nouvelle-Écosse/Nova Scotia,-0.16,Column8,-0.15
Nunavut/Nunavut,-4.45,Column8,-4.56
Ontario/Ontario,-1.24,Column8,-1.38
Île-du-Prince-Édouard/Prince Edward Island,-0.39,Column8,-0.33
Québec/Quebec,-1.95,Column8,-2.20
Saskatchewan/Saskatchewan,-1.01,Column8,-1.18
Yukon/Yukon Territory,-3.77,Column8,-3.81
75e centile/75th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-0.02,Column8,-0.02
Alberta/Alberta,-0.36,Column8,-0.43
Colombie-Britannique/British Columbia,-1.27,Column8,-1.41
Manitoba/Manitoba,-0.18,Column8,-0.18
Nouveau-Brunswick/New Brunswick,-0.10,Column8,-0.26
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.55,Column8,-0.37
Territoires du Nord-Ouest/Northwest Territories,0.05,Column8,0.13
Nouvelle-Écosse/Nova Scotia,0.00,Column8,-0.01
Nunavut/Nunavut,0.42,Column8,0.36
Ontario/Ontario,-0.26,Column8,-0.38
Île-du-Prince-Édouard/Prince Edward Island,-0.03,Column8,-0.05
Québec/Quebec,-0.28,Column8,-0.49
Saskatchewan/Saskatchewan,-0.24,Column8,-0.29
Yukon/Yukon Territory,-0.60,Column8,-0.26
50e centile/50th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-1.20,Column8,-1.20
Alberta/Alberta,-2.10,Column8,-3.20
Colombie-Britannique/British Columbia,-6.20,Column8,-7.90
Manitoba/Manitoba,-1.10,Column8,-1.10
Nouveau-Brunswick/New Brunswick,-1.70,Column8,-3.50
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-3.60,Column8,-3.00
Territoires du Nord-Ouest/Northwest Territories,-0.40,Column8,-0.20
Nouvelle-Écosse/Nova Scotia,-0.60,Column8,-0.70
Nunavut/Nunavut,-0.90,Column8,-0.90
Ontario/Ontario,-2.10,Column8,-2.40
Île-du-Prince-Édouard/Prince Edward Island,-1.20,Column8,-1.50
Québec/Quebec,-2.30,Column8,-2.90
Saskatchewan/Saskatchewan,-1.40,Column8,-2.00
Yukon/Yukon Territory,-2.80,Column8,-2.50
25e centile/25th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-3.00,Column8,-3.40
Alberta/Alberta,-4.70,Column8,-5.10
Colombie-Britannique/British Columbia,-10.10,Column8,-12.10
Manitoba/Manitoba,-2.90,Column8,-3.10
Nouveau-Brunswick/New Brunswick,-2.90,Column8,-5.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-6.00,Column8,-5.60
Territoires du Nord-Ouest/Northwest Territories,-1.70,Column8,-2.00
Nouvelle-Écosse/Nova Scotia,-1.10,Column8,-1.40
Nunavut/Nunavut,-4.50,Column8,-5.40
Ontario/Ontario,-3.50,Column8,-4.30
Île-du-Prince-Édouard/Prince Edward Island,-2.40,Column8,-3.20
Québec/Quebec,-4.10,Column8,-4.70
Saskatchewan/Saskatchewan,-3.40,Column8,-3.90
Yukon/Yukon Territory,-5.70,Column8,-5.80
75e centile/75th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,0.20,Column8,0.10
Alberta/Alberta,-0.50,Column8,-1.10
Colombie-Britannique/British Columbia,-3.20,Column8,-3.60
Manitoba/Manitoba,0.10,Column8,0.30
Nouveau-Brunswick/New Brunswick,0.20,Column8,-1.40
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-1.20,Column8,-0.60
Territoires du Nord-Ouest/Northwest Territories,1.10,Column8,1.30
Nouvelle-Écosse/Nova Scotia,0.00,Column8,-0.20
Nunavut/Nunavut,1.80,Column8,1.70
Ontario/Ontario,-0.40,Column8,-0.80
Île-du-Prince-Édouard/Prince Edward Island,-0.50,Column8,-0.80
Québec/Quebec,-0.50,Column8,-0.80
Saskatchewan/Saskatchewan,-0.10,Column8,-0.50
Yukon/Yukon Territory,0.30,Column8,0.30
50e centile/50th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-1.38,Column8,-1.48
Alberta/Alberta,-2.69,Column8,-3.30
Colombie-Britannique/British Columbia,-8.87,Column8,-10.20
Manitoba/Manitoba,-2.11,Column8,-2.42
Nouveau-Brunswick/New Brunswick,-1.34,Column8,-2.24
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-4.64,Column8,-4.46
Territoires du Nord-Ouest/Northwest Territories,-1.62,Column8,-1.67
Nouvelle-Écosse/Nova Scotia,-0.10,Column8,-0.14
Nunavut/Nunavut,-0.98,Column8,-1.13
Ontario/Ontario,-2.43,Column8,-3.03
Île-du-Prince-Édouard/Prince Edward Island,-0.38,Column8,-0.52
Québec/Quebec,-3.24,Column8,-4.26
Saskatchewan/Saskatchewan,-1.85,Column8,-2.24
Yukon/Yukon Territory,-4.95,Column8,-4.38
25e centile/25th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-3.41,Column8,-3.79
Alberta/Alberta,-4.51,Column8,-5.46
Colombie-Britannique/British Columbia,-15.16,Column8,-17.35
Manitoba/Manitoba,-3.92,Column8,-3.97
Nouveau-Brunswick/New Brunswick,-4.10,Column8,-4.61
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-8.32,Column8,-9.51
Territoires du Nord-Ouest/Northwest Territories,-3.34,Column8,-3.71
Nouvelle-Écosse/Nova Scotia,-0.59,Column8,-0.55
Nunavut/Nunavut,-4.81,Column8,-5.74
Ontario/Ontario,-4.12,Column8,-4.66
Île-du-Prince-Édouard/Prince Edward Island,-1.44,Column8,-1.22
Québec/Quebec,-6.23,Column8,-7.01
Saskatchewan/Saskatchewan,-3.32,Column8,-3.84
Yukon/Yukon Territory,-9.83,Column8,-9.94
75e centile/75th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,0.04,Column8,0.07
Alberta/Alberta,-1.21,Column8,-1.50
Colombie-Britannique/British Columbia,-4.63,Column8,-4.87
Manitoba/Manitoba,-0.58,Column8,-0.57
Nouveau-Brunswick/New Brunswick,-0.31,Column8,-0.95
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-2.04,Column8,-1.17
Territoires du Nord-Ouest/Northwest Territories,0.21,Column8,0.60
Nouvelle-Écosse/Nova Scotia,0.00,Column8,-0.02
Nunavut/Nunavut,1.73,Column8,1.77
Ontario/Ontario,-0.83,Column8,-1.29
Île-du-Prince-Édouard/Prince Edward Island,-0.10,Column8,-0.19
Québec/Quebec,-0.81,Column8,-1.54
Saskatchewan/Saskatchewan,-0.83,Column8,-0.94
Yukon/Yukon Territory,-1.62,Column8,-0.24
50e centile/50th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-0.68,Column8,-0.74
Alberta/Alberta,0.00,Column8,0.00
Colombie-Britannique/British Columbia,-0.33,Column8,-0.31
Manitoba/Manitoba,-0.01,Column8,-0.01
Nouveau-Brunswick/New Brunswick,0.00,Column8,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.06,Column8,-0.05
Territoires du Nord-Ouest/Northwest Territories,-0.13,Column8,-0.19
Nouvelle-Écosse/Nova Scotia,0.00,Column8,0.00
Nunavut/Nunavut,-1.97,Column8,-2.27
Ontario/Ontario,0.00,Column8,0.00
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column8,0.00
Québec/Quebec,-0.06,Column8,-0.09
Saskatchewan/Saskatchewan,0.00,Column8,0.00
Yukon/Yukon Territory,-0.52,Column8,-0.60
25e centile/25th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-2.00,Column8,-2.17
Alberta/Alberta,-0.02,Column8,-0.02
Colombie-Britannique/British Columbia,-1.16,Column8,-1.13
Manitoba/Manitoba,-0.03,Column8,-0.03
Nouveau-Brunswick/New Brunswick,0.00,Column8,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.27,Column8,-0.16
Territoires du Nord-Ouest/Northwest Territories,-0.62,Column8,-0.63
Nouvelle-Écosse/Nova Scotia,0.00,Column8,0.00
Nunavut/Nunavut,-5.64,Column8,-6.43
Ontario/Ontario,-0.01,Column8,-0.01
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column8,0.00
Québec/Quebec,-0.24,Column8,-0.27
Saskatchewan/Saskatchewan,0.00,Column8,0.00
Yukon/Yukon Territory,-2.14,Column8,-2.00
75e centile/75th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-0.05,Column8,-0.07
Alberta/Alberta,0.00,Column8,0.00
Colombie-Britannique/British Columbia,-0.01,Column8,-0.01
Manitoba/Manitoba,0.00,Column8,0.00
Nouveau-Brunswick/New Brunswick,0.00,Column8,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,0.00,Column8,0.00
Territoires du Nord-Ouest/Northwest Territories,0.00,Column8,-0.01
Nouvelle-Écosse/Nova Scotia,0.00,Column8,0.00
Nunavut/Nunavut,-0.05,Column8,-0.22
Ontario/Ontario,0.00,Column8,0.00
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column8,0.00
Québec/Quebec,0.00,Column8,-0.01
Saskatchewan/Saskatchewan,0.00,Column8,0.00
Yukon/Yukon Territory,-0.09,Column8,-0.05
50e centile/50th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-0.81,Column8,-0.88
Alberta/Alberta,-0.45,Column8,-0.51
Colombie-Britannique/British Columbia,-1.16,Column8,-1.63
Manitoba/Manitoba,-0.51,Column8,-0.51
Nouveau-Brunswick/New Brunswick,-0.19,Column8,-0.25
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.56,Column8,-0.74
Territoires du Nord-Ouest/Northwest Territories,-0.62,Column8,-0.91
Nouvelle-Écosse/Nova Scotia,-0.02,Column8,-0.01
Nunavut/Nunavut,-1.95,Column8,-2.24
Ontario/Ontario,-0.44,Column8,-0.48
Île-du-Prince-Édouard/Prince Edward Island,-0.03,Column8,-0.03
Québec/Quebec,-0.74,Column8,-0.82
Saskatchewan/Saskatchewan,-0.43,Column8,-0.48
Yukon/Yukon Territory,-1.54,Column8,-1.92
25e centile/25th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-2.12,Column8,-2.36
Alberta/Alberta,-0.83,Column8,-0.94
Colombie-Britannique/British Columbia,-2.17,Column8,-2.53
Manitoba/Manitoba,-0.93,Column8,-0.94
Nouveau-Brunswick/New Brunswick,-0.38,Column8,-0.39
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-1.06,Column8,-1.24
Territoires du Nord-Ouest/Northwest Territories,-1.44,Column8,-1.71
Nouvelle-Écosse/Nova Scotia,-0.05,Column8,-0.05
Nunavut/Nunavut,-5.19,Column8,-6.03
Ontario/Ontario,-0.81,Column8,-0.82
Île-du-Prince-Édouard/Prince Edward Island,-0.10,Column8,-0.06
Québec/Quebec,-1.22,Column8,-1.46
Saskatchewan/Saskatchewan,-0.78,Column8,-0.85
Yukon/Yukon Territory,-3.05,Column8,-3.24
75e centile/75th percentile,RCP2.6,Column8,RCP8.5
,2016-2035,Column8,2016-2035
Canada/Canada,-0.08,Column8,-0.08
Alberta/Alberta,-0.21,Column8,-0.19
Colombie-Britannique/British Columbia,-0.43,Column8,-0.74
Manitoba/Manitoba,-0.14,Column8,-0.17
Nouveau-Brunswick/New Brunswick,-0.11,Column8,-0.09
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.16,Column8,-0.28
Territoires du Nord-Ouest/Northwest Territories,-0.04,Column8,-0.09
Nouvelle-Écosse/Nova Scotia,0.00,Column8,0.00
Nunavut/Nunavut,-0.02,Column8,-0.14
Ontario/Ontario,-0.20,Column8,-0.22
Île-du-Prince-Édouard/Prince Edward Island,-0.01,Column8,-0.01
Québec/Quebec,-0.31,Column8,-0.40
Saskatchewan/Saskatchewan,-0.12,Column8,-0.23
Yukon/Yukon Territory,-0.70,Column8,-0.74
50e centile/50th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-1.00,Column9,-2.68
Alberta/Alberta,-1.31,Column9,-3.23
Colombie-Britannique/British Columbia,-4.14,Column9,-10.57
Manitoba/Manitoba,-0.93,Column9,-2.28
Nouveau-Brunswick/New Brunswick,-0.80,Column9,-3.68
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-2.21,Column9,-5.46
Territoires du Nord-Ouest/Northwest Territories,-0.69,Column9,-1.60
Nouvelle-Écosse/Nova Scotia,-0.19,Column9,-0.53
Nunavut/Nunavut,-1.46,Column9,-4.05
Ontario/Ontario,-1.25,Column9,-3.12
Île-du-Prince-Édouard/Prince Edward Island,-0.41,Column9,-1.35
Québec/Quebec,-1.60,Column9,-4.27
Saskatchewan/Saskatchewan,-0.92,Column9,-2.30
Yukon/Yukon Territory,-2.44,Column9,-6.31
25e centile/25th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-1.99,Column9,-4.88
Alberta/Alberta,-1.31,Column9,-2.45
Colombie-Britannique/British Columbia,-4.65,Column9,-10.10
Manitoba/Manitoba,-1.22,Column9,-2.05
Nouveau-Brunswick/New Brunswick,-1.12,Column9,-2.81
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-2.44,Column9,-5.24
Territoires du Nord-Ouest/Northwest Territories,-1.44,Column9,-2.75
Nouvelle-Écosse/Nova Scotia,-0.16,Column9,-0.37
Nunavut/Nunavut,-4.45,Column9,-10.78
Ontario/Ontario,-1.24,Column9,-2.49
Île-du-Prince-Édouard/Prince Edward Island,-0.39,Column9,-0.89
Québec/Quebec,-1.95,Column9,-3.89
Saskatchewan/Saskatchewan,-1.01,Column9,-1.84
Yukon/Yukon Territory,-3.77,Column9,-7.24
75e centile/75th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-0.02,Column9,-0.47
Alberta/Alberta,-0.36,Column9,-1.01
Colombie-Britannique/British Columbia,-1.27,Column9,-3.54
Manitoba/Manitoba,-0.18,Column9,-0.77
Nouveau-Brunswick/New Brunswick,-0.10,Column9,-0.64
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.55,Column9,-1.92
Territoires du Nord-Ouest/Northwest Territories,0.05,Column9,-0.44
Nouvelle-Écosse/Nova Scotia,0.00,Column9,-0.03
Nunavut/Nunavut,0.42,Column9,-0.07
Ontario/Ontario,-0.26,Column9,-0.81
Île-du-Prince-Édouard/Prince Edward Island,-0.03,Column9,-0.13
Québec/Quebec,-0.28,Column9,-1.51
Saskatchewan/Saskatchewan,-0.24,Column9,-0.69
Yukon/Yukon Territory,-0.60,Column9,-2.21
50e centile/50th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-1.20,Column9,-3.10
Alberta/Alberta,-2.10,Column9,-6.20
Colombie-Britannique/British Columbia,-6.20,Column9,-18.30
Manitoba/Manitoba,-1.10,Column9,-3.70
Nouveau-Brunswick/New Brunswick,-1.70,Column9,-7.70
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-3.60,Column9,-8.30
Territoires du Nord-Ouest/Northwest Territories,-0.40,Column9,-1.20
Nouvelle-Écosse/Nova Scotia,-0.60,Column9,-1.60
Nunavut/Nunavut,-0.90,Column9,-2.40
Ontario/Ontario,-2.10,Column9,-5.70
Île-du-Prince-Édouard/Prince Edward Island,-1.20,Column9,-3.80
Québec/Quebec,-2.30,Column9,-6.20
Saskatchewan/Saskatchewan,-1.40,Column9,-4.50
Yukon/Yukon Territory,-2.80,Column9,-8.20
25e centile/25th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-3.00,Column9,-7.50
Alberta/Alberta,-4.70,Column9,-9.20
Colombie-Britannique/British Columbia,-10.10,Column9,-25.90
Manitoba/Manitoba,-2.90,Column9,-5.70
Nouveau-Brunswick/New Brunswick,-2.90,Column9,-9.90
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-6.00,Column9,-11.90
Territoires du Nord-Ouest/Northwest Territories,-1.70,Column9,-3.30
Nouvelle-Écosse/Nova Scotia,-1.10,Column9,-2.60
Nunavut/Nunavut,-4.50,Column9,-11.90
Ontario/Ontario,-3.50,Column9,-8.70
Île-du-Prince-Édouard/Prince Edward Island,-2.40,Column9,-7.90
Québec/Quebec,-4.10,Column9,-8.80
Saskatchewan/Saskatchewan,-3.40,Column9,-6.60
Yukon/Yukon Territory,-5.70,Column9,-11.60
75e centile/75th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,0.20,Column9,-0.80
Alberta/Alberta,-0.50,Column9,-3.80
Colombie-Britannique/British Columbia,-3.20,Column9,-11.90
Manitoba/Manitoba,0.10,Column9,-2.20
Nouveau-Brunswick/New Brunswick,0.20,Column9,-5.50
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-1.20,Column9,-4.80
Territoires du Nord-Ouest/Northwest Territories,1.10,Column9,0.60
Nouvelle-Écosse/Nova Scotia,0.00,Column9,-1.00
Nunavut/Nunavut,1.80,Column9,2.30
Ontario/Ontario,-0.40,Column9,-3.20
Île-du-Prince-Édouard/Prince Edward Island,-0.50,Column9,-2.20
Québec/Quebec,-0.50,Column9,-3.20
Saskatchewan/Saskatchewan,-0.10,Column9,-2.70
Yukon/Yukon Territory,0.30,Column9,-3.40
50e centile/50th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-1.38,Column9,-3.15
Alberta/Alberta,-2.69,Column9,-5.62
Colombie-Britannique/British Columbia,-8.87,Column9,-19.85
Manitoba/Manitoba,-2.11,Column9,-4.15
Nouveau-Brunswick/New Brunswick,-1.34,Column9,-6.61
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-4.64,Column9,-11.64
Territoires du Nord-Ouest/Northwest Territories,-1.62,Column9,-2.64
Nouvelle-Écosse/Nova Scotia,-0.10,Column9,-0.46
Nunavut/Nunavut,-0.98,Column9,-2.53
Ontario/Ontario,-2.43,Column9,-5.69
Île-du-Prince-Édouard/Prince Edward Island,-0.38,Column9,-1.54
Québec/Quebec,-3.24,Column9,-8.72
Saskatchewan/Saskatchewan,-1.85,Column9,-3.74
Yukon/Yukon Territory,-4.95,Column9,-10.95
25e centile/25th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-3.41,Column9,-7.59
Alberta/Alberta,-4.51,Column9,-8.10
Colombie-Britannique/British Columbia,-15.16,Column9,-32.81
Manitoba/Manitoba,-3.92,Column9,-6.13
Nouveau-Brunswick/New Brunswick,-4.10,Column9,-10.55
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-8.32,Column9,-17.67
Territoires du Nord-Ouest/Northwest Territories,-3.34,Column9,-5.53
Nouvelle-Écosse/Nova Scotia,-0.59,Column9,-1.40
Nunavut/Nunavut,-4.81,Column9,-11.86
Ontario/Ontario,-4.12,Column9,-8.13
Île-du-Prince-Édouard/Prince Edward Island,-1.44,Column9,-3.34
Québec/Quebec,-6.23,Column9,-12.16
Saskatchewan/Saskatchewan,-3.32,Column9,-5.90
Yukon/Yukon Territory,-9.83,Column9,-17.20
75e centile/75th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,0.04,Column9,-0.70
Alberta/Alberta,-1.21,Column9,-3.35
Colombie-Britannique/British Columbia,-4.63,Column9,-12.19
Manitoba/Manitoba,-0.58,Column9,-2.13
Nouveau-Brunswick/New Brunswick,-0.31,Column9,-2.25
